NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
1;JAWA BARAT;KABUPATEN BOGOR;NIGHT CLUB;0;2014
2;JAWA BARAT;KABUPATEN BOGOR;PUB;0;2014
3;JAWA BARAT;KABUPATEN BOGOR;DISKOTIK;0;2014
4;JAWA BARAT;KABUPATEN BOGOR;KARAOKE/BAR;0;2014
5;JAWA BARAT;KABUPATEN BOGOR;PANTI PIJAT;43;2014
6;JAWA BARAT;KABUPATEN SUKABUMI;NIGHT CLUB;0;2014
7;JAWA BARAT;KABUPATEN SUKABUMI;PUB;0;2014
8;JAWA BARAT;KABUPATEN SUKABUMI;DISKOTIK;0;2014
9;JAWA BARAT;KABUPATEN SUKABUMI;KARAOKE/BAR;0;2014
10;JAWA BARAT;KABUPATEN SUKABUMI;PANTI PIJAT;0;2014
11;JAWA BARAT;KABUPATEN CIANJUR;NIGHT CLUB;0;2014
12;JAWA BARAT;KABUPATEN CIANJUR;PUB;0;2014
13;JAWA BARAT;KABUPATEN CIANJUR;DISKOTIK;2;2014
14;JAWA BARAT;KABUPATEN CIANJUR;KARAOKE/BAR;7;2014
15;JAWA BARAT;KABUPATEN CIANJUR;PANTI PIJAT;0;2014
16;JAWA BARAT;KABUPATEN BANDUNG;NIGHT CLUB;0;2014
17;JAWA BARAT;KABUPATEN BANDUNG;PUB;0;2014
18;JAWA BARAT;KABUPATEN BANDUNG;DISKOTIK;0;2014
19;JAWA BARAT;KABUPATEN BANDUNG;KARAOKE/BAR;1;2014
20;JAWA BARAT;KABUPATEN BANDUNG;PANTI PIJAT;0;2014
21;JAWA BARAT;KABUPATEN GARUT;NIGHT CLUB;0;2014
22;JAWA BARAT;KABUPATEN GARUT;PUB;0;2014
23;JAWA BARAT;KABUPATEN GARUT;DISKOTIK;0;2014
24;JAWA BARAT;KABUPATEN GARUT;KARAOKE/BAR;1;2014
25;JAWA BARAT;KABUPATEN GARUT;PANTI PIJAT;0;2014
26;JAWA BARAT;KABUPATEN TASIKMALAYA;NIGHT CLUB;0;2014
27;JAWA BARAT;KABUPATEN TASIKMALAYA;PUB;0;2014
28;JAWA BARAT;KABUPATEN TASIKMALAYA;DISKOTIK;0;2014
29;JAWA BARAT;KABUPATEN TASIKMALAYA;KARAOKE/BAR;0;2014
30;JAWA BARAT;KABUPATEN TASIKMALAYA;PANTI PIJAT;0;2014
31;JAWA BARAT;KABUPATEN CIAMIS;NIGHT CLUB;0;2014
32;JAWA BARAT;KABUPATEN CIAMIS;PUB;0;2014
33;JAWA BARAT;KABUPATEN CIAMIS;DISKOTIK;0;2014
34;JAWA BARAT;KABUPATEN CIAMIS;KARAOKE/BAR;0;2014
35;JAWA BARAT;KABUPATEN CIAMIS;PANTI PIJAT;0;2014
