id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_tempat_hiburan,jumlah_tempat_hiburan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NIGHT CLUB,0,UNIT,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUB,0,UNIT,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,DISKOTIK,0,UNIT,2014
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KARAOKE/BAR,0,UNIT,2014
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,PANTI PIJAT,43,UNIT,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NIGHT CLUB,0,UNIT,2014
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUB,0,UNIT,2014
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DISKOTIK,0,UNIT,2014
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KARAOKE/BAR,0,UNIT,2014
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PANTI PIJAT,0,UNIT,2014
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NIGHT CLUB,0,UNIT,2014
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUB,0,UNIT,2014
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DISKOTIK,2,UNIT,2014
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KARAOKE/BAR,7,UNIT,2014
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PANTI PIJAT,0,UNIT,2014
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NIGHT CLUB,0,UNIT,2014
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUB,0,UNIT,2014
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DISKOTIK,0,UNIT,2014
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KARAOKE/BAR,1,UNIT,2014
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PANTI PIJAT,0,UNIT,2014
21,32,JAWA BARAT,3205,KABUPATEN GARUT,NIGHT CLUB,0,UNIT,2014
22,32,JAWA BARAT,3205,KABUPATEN GARUT,PUB,0,UNIT,2014
23,32,JAWA BARAT,3205,KABUPATEN GARUT,DISKOTIK,0,UNIT,2014
24,32,JAWA BARAT,3205,KABUPATEN GARUT,KARAOKE/BAR,1,UNIT,2014
25,32,JAWA BARAT,3205,KABUPATEN GARUT,PANTI PIJAT,0,UNIT,2014
26,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NIGHT CLUB,0,UNIT,2014
27,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUB,0,UNIT,2014
28,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DISKOTIK,0,UNIT,2014
29,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KARAOKE/BAR,0,UNIT,2014
30,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PANTI PIJAT,0,UNIT,2014
31,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NIGHT CLUB,0,UNIT,2014
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PUB,0,UNIT,2014
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DISKOTIK,0,UNIT,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KARAOKE/BAR,0,UNIT,2014
35,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PANTI PIJAT,0,UNIT,2014
36,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NIGHT CLUB,0,UNIT,2014
37,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PUB,0,UNIT,2014
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DISKOTIK,0,UNIT,2014
39,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KARAOKE/BAR,0,UNIT,2014
40,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PANTI PIJAT,0,UNIT,2014
41,32,JAWA BARAT,3209,KABUPATEN CIREBON,NIGHT CLUB,0,UNIT,2014
42,32,JAWA BARAT,3209,KABUPATEN CIREBON,PUB,1,UNIT,2014
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,DISKOTIK,0,UNIT,2014
44,32,JAWA BARAT,3209,KABUPATEN CIREBON,KARAOKE/BAR,1,UNIT,2014
45,32,JAWA BARAT,3209,KABUPATEN CIREBON,PANTI PIJAT,0,UNIT,2014
46,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NIGHT CLUB,0,UNIT,2014
47,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUB,0,UNIT,2014
48,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DISKOTIK,1,UNIT,2014
49,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KARAOKE/BAR,1,UNIT,2014
50,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PANTI PIJAT,0,UNIT,2014
51,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NIGHT CLUB,0,UNIT,2014
52,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PUB,0,UNIT,2014
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DISKOTIK,0,UNIT,2014
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KARAOKE/BAR,0,UNIT,2014
55,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PANTI PIJAT,0,UNIT,2014
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NIGHT CLUB,0,UNIT,2014
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUB,0,UNIT,2014
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DISKOTIK,0,UNIT,2014
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KARAOKE/BAR,0,UNIT,2014
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PANTI PIJAT,0,UNIT,2014
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,NIGHT CLUB,0,UNIT,2014
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUB,0,UNIT,2014
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,DISKOTIK,0,UNIT,2014
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,KARAOKE/BAR,13,UNIT,2014
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,PANTI PIJAT,0,UNIT,2014
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NIGHT CLUB,0,UNIT,2014
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PUB,0,UNIT,2014
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISKOTIK,0,UNIT,2014
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KARAOKE/BAR,6,UNIT,2014
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PANTI PIJAT,0,UNIT,2014
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NIGHT CLUB,0,UNIT,2014
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUB,0,UNIT,2014
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DISKOTIK,1,UNIT,2014
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KARAOKE/BAR,8,UNIT,2014
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PANTI PIJAT,0,UNIT,2014
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,NIGHT CLUB,0,UNIT,2014
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,PUB,1,UNIT,2014
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,DISKOTIK,0,UNIT,2014
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,KARAOKE/BAR,25,UNIT,2014
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,PANTI PIJAT,7,UNIT,2014
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NIGHT CLUB,0,UNIT,2014
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PUB,0,UNIT,2014
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DISKOTIK,0,UNIT,2014
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KARAOKE/BAR,2,UNIT,2014
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PANTI PIJAT,0,UNIT,2014
86,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NIGHT CLUB,0,UNIT,2014
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PUB,0,UNIT,2014
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DISKOTIK,0,UNIT,2014
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KARAOKE/BAR,0,UNIT,2014
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PANTI PIJAT,0,UNIT,2014
91,32,JAWA BARAT,3271,KOTA BOGOR,NIGHT CLUB,0,UNIT,2014
92,32,JAWA BARAT,3271,KOTA BOGOR,PUB,0,UNIT,2014
93,32,JAWA BARAT,3271,KOTA BOGOR,DISKOTIK,0,UNIT,2014
94,32,JAWA BARAT,3271,KOTA BOGOR,KARAOKE/BAR,0,UNIT,2014
95,32,JAWA BARAT,3271,KOTA BOGOR,PANTI PIJAT,0,UNIT,2014
96,32,JAWA BARAT,3272,KOTA SUKABUMI,NIGHT CLUB,0,UNIT,2014
97,32,JAWA BARAT,3272,KOTA SUKABUMI,PUB,0,UNIT,2014
98,32,JAWA BARAT,3272,KOTA SUKABUMI,DISKOTIK,1,UNIT,2014
99,32,JAWA BARAT,3272,KOTA SUKABUMI,KARAOKE/BAR,11,UNIT,2014
100,32,JAWA BARAT,3272,KOTA SUKABUMI,PANTI PIJAT,0,UNIT,2014
101,32,JAWA BARAT,3273,KOTA BANDUNG,NIGHT CLUB,12,UNIT,2014
102,32,JAWA BARAT,3273,KOTA BANDUNG,PUB,19,UNIT,2014
103,32,JAWA BARAT,3273,KOTA BANDUNG,DISKOTIK,3,UNIT,2014
104,32,JAWA BARAT,3273,KOTA BANDUNG,KARAOKE/BAR,56,UNIT,2014
105,32,JAWA BARAT,3273,KOTA BANDUNG,PANTI PIJAT,29,UNIT,2014
106,32,JAWA BARAT,3274,KOTA CIREBON,NIGHT CLUB,1,UNIT,2014
107,32,JAWA BARAT,3274,KOTA CIREBON,PUB,0,UNIT,2014
108,32,JAWA BARAT,3274,KOTA CIREBON,DISKOTIK,0,UNIT,2014
109,32,JAWA BARAT,3274,KOTA CIREBON,KARAOKE/BAR,2,UNIT,2014
110,32,JAWA BARAT,3274,KOTA CIREBON,PANTI PIJAT,0,UNIT,2014
111,32,JAWA BARAT,3275,KOTA BEKASI,NIGHT CLUB,0,UNIT,2014
112,32,JAWA BARAT,3275,KOTA BEKASI,PUB,0,UNIT,2014
113,32,JAWA BARAT,3275,KOTA BEKASI,DISKOTIK,1,UNIT,2014
114,32,JAWA BARAT,3275,KOTA BEKASI,KARAOKE/BAR,3,UNIT,2014
115,32,JAWA BARAT,3275,KOTA BEKASI,PANTI PIJAT,0,UNIT,2014
116,32,JAWA BARAT,3276,KOTA DEPOK,NIGHT CLUB,0,UNIT,2014
117,32,JAWA BARAT,3276,KOTA DEPOK,PUB,0,UNIT,2014
118,32,JAWA BARAT,3276,KOTA DEPOK,DISKOTIK,0,UNIT,2014
119,32,JAWA BARAT,3276,KOTA DEPOK,KARAOKE/BAR,0,UNIT,2014
120,32,JAWA BARAT,3276,KOTA DEPOK,PANTI PIJAT,0,UNIT,2014
121,32,JAWA BARAT,3277,KOTA CIMAHI,NIGHT CLUB,0,UNIT,2014
122,32,JAWA BARAT,3277,KOTA CIMAHI,PUB,0,UNIT,2014
123,32,JAWA BARAT,3277,KOTA CIMAHI,DISKOTIK,0,UNIT,2014
124,32,JAWA BARAT,3277,KOTA CIMAHI,KARAOKE/BAR,0,UNIT,2014
125,32,JAWA BARAT,3277,KOTA CIMAHI,PANTI PIJAT,0,UNIT,2014
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NIGHT CLUB,0,UNIT,2014
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUB,0,UNIT,2014
